"species","abu_t1","abu_t3","abu_t4"
"Acrocephalus_palustris",NA,0.326228897723181,0.108583677697589
"Acrocephalus_schoenobaenus",NA,-0.263931505840559,0.283433943204347
"Acrocephalus_scirpaceus",NA,0.374312006468783,-0.307898479469665
"Actitis_hypoleucos",0.275035128555613,-0.181271736767841,-0.109252096309321
"Aegithalos_caudatus",NA,0.700072035108949,-0.414106824517176
"Alauda_arvensis",NA,-0.035192690624607,0.0148683795602339
"Anas_crecca",NA,0.348730852182688,-0.327411614484534
"Anas_platyrhynchos",NA,0.0535155226038696,0.0408860273717997
"Anser_anser",NA,-0.801922228850216,-0.171390493868253
"Anthus_pratensis",1,0.325185750504494,0.412793736175583
"Anthus_trivialis",0.358917004232307,-0.0484795460142605,-0.0441100258043317
"Apus_apus",-0.95066457411143,0.0424857727158413,-0.0982908026881576
"Ardea_cinerea",NA,0.201408615460159,0.0818478508775756
"Aythya_fuligula",1,-0.912925271467879,-0.265094988025783
"Bonasa_bonasia",NA,0.977144277431027,NA
"Branta_canadensis",1,0.134166852906836,-0.0555385905293345
"Bucephala_clangula",-0.364843090684063,0.101978247385147,0.0737233562999169
"Buteo_buteo",-1,0.0824024404543825,-0.243362404390449
"Carduelis_cannabina",NA,-0.323154267472847,0.0263939315923301
"Carduelis_carduelis",NA,1,-0.15225556084523
"Carduelis_chloris",0.209113950266159,0.135983227933296,-0.119977178015132
"Carduelis_flammea",0.232910269088617,-0.343228801305822,0.10561358831952
"Carduelis_spinus",-0.155602134366325,-0.0637240456373545,-0.0133602966419231
"Carpodacus_erythrinus",NA,0.327507012147918,-0.452593619595512
"Certhia_familiaris",0.987365444152402,-0.167897922447759,-0.0943842749909564
"Coccothraustes_coccothraustes",NA,-0.275121932499915,0.0602653305113473
"Columba_livia",NA,0.997869515670137,0.413865991548641
"Columba_oenas",NA,-0.486019910143829,-0.166693495977353
"Columba_palumbus",-0.10096852579465,-0.28463488648112,0.0498657570712966
"Corvus_corax",-0.223293796586732,0.111861247465326,-0.0094320259768722
"Corvus_corone",0.297105159316412,-0.12008274658535,-0.103898520344669
"Corvus_monedula",NA,-0.194427834111994,0.183973302464338
"Cuculus_canorus",-0.458418300966021,-0.0763387388465897,0.10471072088153
"Cygnus_cygnus",NA,-0.125085503307127,-0.171623554956626
"Cygnus_olor",NA,-0.244588378699231,0.0820203360015345
"Delichon_urbicum",0.560370807421677,0.103401609723967,0.103938749676828
"Dendrocopos_major",0.323490186213119,-0.0849147063215793,0.187463190715078
"Dryocopus_martius",0.314362809004531,0.158947575328165,0.0138775226247675
"Emberiza_citrinella",0.435266171800365,-0.0698111091846567,-0.0206845445633162
"Emberiza_rustica",NA,NA,1
"Emberiza_schoeniclus",-0.111640447191814,-0.0766517685333403,0.257484461253022
"Erithacus_rubecula",0.478998827005061,0.0216200496922489,0.097596305661491
"Falco_tinnunculus",NA,0.692904759518633,0.300596676598702
"Ficedula_hypoleuca",0.45782806088453,0.0359544032170273,0.120449378036393
"Fringilla_coelebs",0.163953077757435,-0.0470037947704078,0.107001341706539
"Fringilla_montifringilla",0.195751575853762,0.0406031450563826,-0.264611824956829
"Fulica_atra",NA,0.977460416003032,-0.0701986721434973
"Gallinago_gallinago",0.20391050541264,-0.0223918461011019,0.252343043508992
"Garrulus_glandarius",1,-0.11047210997119,-0.0538656571184069
"Gavia_arctica",0.974078189634092,-0.755202631105958,0.085055732827711
"Gavia_stellata",1,-0.603691461752283,0.0167574889660982
"Grus_grus",-0.0238856414641168,-0.112588136243662,0.0789568406642804
"Haematopus_ostralegus",NA,-0.594870516532139,0.0725273196766972
"Hippolais_icterina",NA,0.383619490649303,-0.071062339116458
"Hirundo_rustica",-0.77972323767591,0.0731731182167156,0.0967708847987667
"Jynx_torquilla",NA,-0.169419415725375,0.082873544414629
"Lagopus_lagopus",NA,0.915032017913331,-0.30697777730216
"Lanius_collurio",NA,-0.165907397074392,0.0225648356725651
"Larus_argentatus",-1,-0.541013737069709,0.159022480012461
"Larus_canus",0.454849053519136,0.158354400121883,-0.0300746400638353
"Larus_marinus",NA,-0.0451012905447633,0.429024451008856
"Larus_ridibundus",1,0.206702626502116,-0.0747190292173643
"Loxia_curvirostra",0.226002182258826,0.290712672851053,0.0514727940163945
"Loxia_pytyopsittacus",NA,-0.248993093584053,-0.218624164861049
"Lullula_arborea",NA,0.0302518000486478,-0.465569329155709
"Luscinia_luscinia",NA,0.317492180896989,0.149427039171992
"Luscinia_svecica",NA,0.840097920618,-0.314321434746302
"Mergus_merganser",-1,-0.122008269078569,-0.038669943256396
"Motacilla_alba",-0.209014726338982,-0.19306520666783,-0.0373046162511842
"Motacilla_flava",0.242231050540225,0.141483656315366,0.328779186286303
"Muscicapa_striata",0.190527027535152,-0.343323349660717,0.172963655826889
"Numenius_arquata",0.485006811328851,0.130123694308042,0.033882627004353
"Numenius_phaeopus",0.162363854679744,-0.308791729151877,-0.324876316578671
"Oenanthe_oenanthe",-1,0.357386551887094,-0.100675364273436
"Pandion_haliaetus",NA,NA,0.486228684359015
"Parus_ater",NA,-0.125450677979484,0.0518551031478083
"Parus_caeruleus",0.674665618794653,-0.0195325590384966,0.16498665807867
"Parus_cristatus",-0.210973399947963,0.296564297417643,0.222251815783607
"Parus_major",0.134441741791663,0.25404014553105,0.00498607671906077
"Parus_montanus",0.121028742291133,-0.153528721694719,-0.340207765575477
"Parus_palustris",NA,0.656463476629965,-0.0813997167766657
"Passer_domesticus",NA,0.0296645246251129,0.299380827887061
"Passer_montanus",NA,0.397837386837001,0.193473885971707
"Perisoreus_infaustus",NA,-0.135594070158356,NA
"Phalacrocorax_carbo",NA,-0.123366618750272,0.0900130434524577
"Phasianus_colchicus",NA,-0.176556560688908,0.020893185661913
"Phoenicurus_phoenicurus",0.0834030063803202,-0.153459956822149,0.259796932857518
"Phylloscopus_collybita",0.38313275212997,-0.13423960617939,-0.365990705557898
"Phylloscopus_sibilatrix",1,-0.0345841142689446,-0.167581705417643
"Phylloscopus_trochilus",0.196060060732146,0.0387777962636838,0.0423039986371859
"Pica_pica",-0.0810897217713592,0.0224598378592386,0.0849576106196423
"Picus_viridis",NA,0.330447132195782,-0.0964540973204078
"Pluvialis_apricaria",NA,0.179541537840085,0.165195619516451
"Podiceps_cristatus",NA,-0.550775623137551,-0.276400282876329
"Prunella_modularis",0.093084657231437,0.0590174133406804,-0.0818039338027451
"Pyrrhula_pyrrhula",-0.0664531048935404,-0.262072126535601,0.0896334342173299
"Regulus_regulus",0.483821769693722,0.19522667949374,0.224163181477142
"Saxicola_rubetra",0.318174113902996,0.282492722780689,0.0326924458029941
"Scolopax_rusticola",NA,0.703861572164552,-0.0244131599596426
"Sitta_europaea",NA,-0.154721974379578,0.104476600746779
"Sterna_hirundo",NA,-0.0850361220299004,0.242157965492854
"Sturnus_vulgaris",-1,-0.180172396040842,-0.165293899134496
"Sylvia_atricapilla",-1,-0.0647455332283709,-0.0498399817371023
"Sylvia_borin",0.124890867587457,-0.0495222140603792,0.0768280093294729
"Sylvia_communis",NA,-0.247010324755022,-0.173379089653493
"Sylvia_curruca",1,0.188410541408794,0.0400982228563049
"Tetrao_tetrix",-0.678182847673662,0.07832628453382,0.0116042187767971
"Tetrao_urogallus",-0.189105089039555,-0.0804335984168158,0.0417242752875561
"Tringa_glareola",-0.0978064040353764,0.111191291988915,0.43418436128231
"Tringa_nebularia",0.030120740524673,-0.391674163171121,-0.160464061102838
"Tringa_ochropus",-0.459788645222671,0.396137424603553,-0.0454992125179217
"Tringa_totanus",NA,-0.571389598941536,-0.400612746070944
"Troglodytes_troglodytes",-0.748586740522423,0.148093156969448,0.0718892903515187
"Turdus_iliacus",0.28656798252174,-0.26080432483416,0.143234373786744
"Turdus_merula",-0.0912621725587393,0.107933484399805,-0.057270283838314
"Turdus_philomelos",0.257327279283531,-0.160455838543954,0.098913986949048
"Turdus_pilaris",0.210659125612858,-0.0240048468749516,0.071161914968093
"Turdus_torquatus",NA,NA,0.112290416652066
"Turdus_viscivorus",0.647655646543112,-0.137693759373231,0.158067556747077
"Vanellus_vanellus",NA,0.0642832495079196,-0.303885365721874
