"species","pa_t1","pa_t3","pa_t4"
"Acrocephalus_palustris",NA,0.55320058784118,0.0663135698013
"Acrocephalus_schoenobaenus",0.322979360693616,0.0920378971204689,0.00980701027097777
"Acrocephalus_scirpaceus",NA,-0.15492267454458,-0.212971534722403
"Actitis_hypoleucos",-0.0988007987870303,-0.220304442796503,0.119085605797437
"Aegithalos_caudatus",0.0317851689921375,0.110568617504764,-0.139893017534519
"Alauda_arvensis",0.0967442864412749,0.130765687566791,-0.391866109794745
"Anas_crecca",0.0700456986923517,-0.175867562950598,0.0792830556138087
"Anas_platyrhynchos",0.0188390691015363,-0.0418132341892183,-0.0667724377869772
"Anser_anser",NA,0.41571004530435,0.27287913689886
"Anthus_pratensis",-0.0845099262813121,-0.0647687262658441,0.11450601864687
"Anthus_trivialis",0.205064518233693,0.321800514108028,0.00887546250725934
"Apus_apus",0.0351796894021886,0.0343490954504005,0.0224625946815209
"Ardea_cinerea",NA,-0.329517353548948,0.0605422120723286
"Aythya_fuligula",0.0216533437470081,-0.126541452462311,0.128530155628362
"Bonasa_bonasia",-0.153245897282389,-0.2925917252843,-0.0712384152901025
"Branta_canadensis",0.0481024609961148,-0.0275200529239417,0.0778492316898239
"Bucephala_clangula",-0.0792165272424085,-0.0873434411259068,0.203949043908214
"Buteo_buteo",0.0216787265758322,0.0614991753146917,0.233836758172231
"Carduelis_cannabina",-0.0276269311519561,0.0167965469980995,-0.314060273252202
"Carduelis_carduelis",NA,0.606833430705902,0.280960299995738
"Carduelis_chloris",0.23107322972908,-0.154424989177398,-0.101753652210387
"Carduelis_flammea",0.310837848688148,-0.00870690098553861,0.124612628452119
"Carduelis_spinus",0.0902621252426666,0.0344185682805893,0.0488650322841055
"Carpodacus_erythrinus",0.29205534768695,0.231912225200708,0.0719014519623268
"Certhia_familiaris",0.141796044212783,-0.04475390368139,-0.129318736390581
"Coccothraustes_coccothraustes",0.450239777770153,0.405650762904216,0.0559499978304929
"Columba_livia",NA,0.378035635045974,0.267767146323707
"Columba_oenas",-0.337625968145909,-0.0879936855681234,-0.0108292066731293
"Columba_palumbus",0.277629822891374,-0.0359454586712551,-0.0447669728384945
"Corvus_corax",0.00497579621182238,-0.0982290509351321,0.0742408475742302
"Corvus_corone",0.162292519426821,0.131846600022921,0.166190340995405
"Corvus_monedula",-0.105766488326338,0.0930237926093873,0.238233322059669
"Cuculus_canorus",-0.191570949109612,0.0779550900523887,-0.179433419027357
"Cygnus_cygnus",-0.10076184008413,0.182666239145533,-0.0141226708785871
"Cygnus_olor",-0.392165512218101,-0.0815055809437207,-0.130431521142584
"Delichon_urbicum",0.135673694396115,0.246125019505401,-0.0929068999220139
"Dendrocopos_major",-0.0309320117909871,0.00233607884002616,0.149575295359331
"Dryocopus_martius",-0.209845824800902,0.0739335539661372,-0.112714451598989
"Emberiza_citrinella",0.111494596582807,-0.112682407842551,-0.242363105577208
"Emberiza_rustica",0.40822377414155,0.0421647629187052,0.415417088919563
"Emberiza_schoeniclus",0.203435322814724,-0.0419314919963528,0.001596749679938
"Erithacus_rubecula",0.195687124993203,0.166504566998868,0.22115676182146
"Falco_tinnunculus",0.141220718582442,-0.0810372913102462,0.0737015322072877
"Ficedula_hypoleuca",0.0143885431879556,0.0344888023035931,-0.0746371512562419
"Fringilla_coelebs",0.0500003651459961,0.618284714825302,0.18429516678304
"Fringilla_montifringilla",0.223045109251154,0.237444210051978,0.416847621152686
"Fulica_atra",-0.0248320120682877,0.0843891202507519,-0.151425704257794
"Gallinago_gallinago",0.270499570837015,-0.0868619057960811,-0.0617834742643725
"Garrulus_glandarius",-0.135175490740057,0.0768492752729202,-0.0897010738224261
"Gavia_arctica",-0.180997607080526,0.00453782695530938,0.106453386642211
"Gavia_stellata",0.0256500182787106,-0.0455726338610886,0.168240105442289
"Grus_grus",0.0510912341449426,-0.0428588424470202,-0.0328356464548135
"Haematopus_ostralegus",NA,-0.221822765664577,-0.194162214900619
"Hippolais_icterina",-0.279813127010276,-0.117530136747381,-0.049860807070345
"Hirundo_rustica",0.168309452150998,0.190551240111556,-0.025209827138736
"Jynx_torquilla",-0.0608664602263921,0.0259481297732562,-0.0362936464659018
"Lagopus_lagopus",-0.107337819784232,0.104171665649655,0.267020494474345
"Lanius_collurio",-0.156637032798671,0.122330063433063,-0.0736748930820986
"Larus_argentatus",-0.0958596234488629,-0.0640548339714191,-0.169929796628087
"Larus_canus",0.00813727194283245,0.0208246268371553,0.0872935691812683
"Larus_marinus",0.709858293280737,-0.393690497482626,-0.117428779674925
"Larus_ridibundus",0.24587868313692,0.123616003937849,-0.0807094360868517
"Loxia_curvirostra",0.118071894058677,-0.0963846224675831,0.0804049379880612
"Loxia_pytyopsittacus",-0.0614714708614722,0.0475978294898216,0.10372332867683
"Lullula_arborea",-0.113718079956266,-0.0178124224572363,0.0848584520220399
"Luscinia_luscinia",0.519534753294796,-0.124518805019247,-0.260285152175372
"Luscinia_svecica",0.250528778851837,0.184343312016913,0.265485276101928
"Mergus_merganser",0.188750467807611,0.173170718629276,0.0966685718279439
"Motacilla_alba",0.00540513256037436,-0.0512526133739198,0.0859773312603882
"Motacilla_flava",0.0657430375041412,0.143478653375941,0.305434175941834
"Muscicapa_striata",0.469172741331589,0.0691077058857263,-0.104476127496763
"Numenius_arquata",0.0952168121172828,0.134249968569931,0.188277338295264
"Numenius_phaeopus",0.216332311989116,-0.154531060813825,0.0541652193251059
"Oenanthe_oenanthe",0.00495975567461371,0.106326391970799,0.0264737430584635
"Pandion_haliaetus",NA,0.0599064486016723,0.21954443125482
"Parus_ater",0.113846698139549,-0.0065196460450494,-0.165258083196171
"Parus_caeruleus",0.0372256275028163,-0.127532288492976,0.135889062578265
"Parus_cristatus",0.0525159338962725,-0.152039800520599,0.191976590622876
"Parus_major",0.0211284720762311,0.390218755358672,0.183051114043638
"Parus_montanus",-0.0995549604774511,0.047117764846678,0.0144545294518421
"Parus_palustris",-0.387218479949085,-0.026014642514479,-0.0778989868764354
"Passer_domesticus",NA,0.000849417585795552,-0.0156554309115436
"Passer_montanus",-0.0967084290931463,-0.368183448730178,0.000564383253724643
"Perisoreus_infaustus",-0.0346587541485543,-0.00141638182555987,0.244002643261325
"Phalacrocorax_carbo",0.634655772267141,0.288122569308499,0.146723163196445
"Phasianus_colchicus",-0.661407700705305,-0.0726762565173216,-0.410725823165313
"Phoenicurus_phoenicurus",0.0416227836360766,0.158906452850152,0.0269015152172959
"Phylloscopus_collybita",0.0864502701574779,-0.164309829285851,0.0818458818677943
"Phylloscopus_sibilatrix",0.15872955101084,0.0338355586664002,-0.0631353725953312
"Phylloscopus_trochilus",0.10475611758786,-0.0116780655544852,0.0306314387879366
"Pica_pica",0.375822395010439,0.0674373144496206,-0.147648914553022
"Picus_viridis",-0.266945129923979,0.0722091372402181,-0.114998718318994
"Pluvialis_apricaria",0.108345703006483,0.0696037144603652,0.0947505194354476
"Podiceps_cristatus",NA,0.0766876067938256,-0.106837531966567
"Prunella_modularis",0.0401414763148579,-0.0944312061993692,-0.0844285669418492
"Pyrrhula_pyrrhula",0.0662162893162525,0.165324286991274,0.147179889571279
"Regulus_regulus",0.243927019662852,-0.0648221710759762,-0.110725327670078
"Saxicola_rubetra",0.134427154142947,-0.0331500587154816,0.00163031715813762
"Scolopax_rusticola",0.303913257923229,-0.128736555185467,0.0688941113355387
"Sitta_europaea",-0.10348535075045,0.155408560077851,0.173991893335219
"Sterna_hirundo",-0.250026600874747,-0.130825426077044,0.0657741047675612
"Sturnus_vulgaris",0.00452751586481545,0.0130150995730024,-0.0900845311524443
"Sylvia_atricapilla",0.0552815587510805,0.185057603922362,0.217444844132498
"Sylvia_borin",0.197385724117867,0.118398675581311,-0.0598049399205918
"Sylvia_communis",-0.0531142357180929,-0.0527413086135073,0.0861868030827326
"Sylvia_curruca",0.243744553152877,0.131538866333129,0.0100712993029018
"Tetrao_tetrix",-0.177073049376467,0.0712253907511096,-0.0299130258526839
"Tetrao_urogallus",-0.144071326425322,-0.0481248662149836,0.154306281180295
"Tringa_glareola",0.1420209808448,-0.0576599603922274,0.0186152754166534
"Tringa_nebularia",0.252060036290776,0.144352735684508,-0.0696688679820903
"Tringa_ochropus",0.0484184976877491,0.112309810987923,-0.0537765754910508
"Tringa_totanus",NA,-0.32111669282729,-0.156111617951362
"Troglodytes_troglodytes",-0.0978438261264575,0.0157092926955567,0.127208416667877
"Turdus_iliacus",-0.0354078439767716,-0.135647963944485,0.206294198413952
"Turdus_merula",0.0474877758967768,0.275887568504358,0.375145742200385
"Turdus_philomelos",0.245570103093672,0.19332447087812,0.333679327354324
"Turdus_pilaris",-0.0811396436683503,0.0699612653584876,0.0104437385892794
"Turdus_torquatus",NA,-0.386341935545232,-0.33130578774195
"Turdus_viscivorus",0.152405419933773,-0.103626423726697,-0.0704587139829917
"Vanellus_vanellus",0.0174854745236822,-0.0743667619222679,-0.0371955121771003
