"grid_id","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","routeid","left","top","right","bottom","geometry"
67,0,0,0,0.425,0.15,0,0.075,0.15,0,0.425,1,0,0,0,0,0,0,0,0,0,0.175,0.925,0.875,0,0.025,0,0,0,0.025,0.175,0.075,0,0.775,0.075,0,0,0,0,0.025,0,0.8,0.95,0.025,0.95,1,0,0,0,0.125,0.025,0,0,0,0.025,0.025,0.325,0.025,0,0,0,0,0,0.15,0,0,0,0,0.025,0.125,0,0.275,0,0,0.175,0,0.075,0.225,0,0.95,0.75,0,0,0,0,0,0,0.775,0.05,0,1,0,0.025,0,0,0.975,0.075,0.05,0.225,0.1,0,0,0.025,0.45,0.075,0.7,0,0.725,0.025,0.05,0,0.025,0,0.875,0.925,1,1,0.025,0.35,0.05,0,1731.5,4091897.35716,3960489.78728,4141897.35716,3910489.78728,NA
138,0,0,0,0.25,0,0,0.03125,0.03125,0,0.90625,0.78125,0,0,0.15625,0,0,0,0,0,0,0.15625,1,0.65625,0,0,0.03125,0,0,0.09375,0.21875,0.75,0,0.9375,0,0,0.09375,0,0,0.09375,0,1,0.59375,0,0.125,0.875,0.96875,0,0.5625,0,0.15625,0.09375,0.25,0,0.21875,0,0,0.375,0.03125,0,0.03125,0,0,0.15625,0,0,0,0.5625,0.09375,0.1875,0.5,0.125,0,0.03125,0.6875,0.03125,0,0.03125,0,0.34375,0.5,0.03125,0,0,0,0,0,0.625,0,0.03125,1,0.15625,0,0.34375,0,0.59375,0.15625,0,0.03125,0.0625,0,0,0,0.375,0.09375,0.03125,0,0.03125,0,0.15625,0,0,0.59375,0.25,0.96875,0.75,1,1,0.65625,0,0.03125,1750.5,4191897.35716,4110489.78728,4241897.35716,4060489.78728,NA
169,0,0,0,0.21875,0,0,0.03125,0.03125,0,0.875,0.5,0,0,0,0,0,0.03125,0,0,0,0,0.78125,0.40625,0,0,0,0,0,0,0.3125,0.21875,0,1,0,0,0,0,0,0,0,0.8125,0.34375,0.21875,0.53125,0.25,0.8125,0,0,0,0.125,0,0,0,0.09375,0,0,0.5625,0,0,0.1875,0,0,0.0625,0,0,0,0.625,0,0.09375,0,0.125,0,0.03125,0.8125,0,0,0,0,0.1875,0.125,0,0,0,0,0,0,0.71875,0,0,1,0,0,0.46875,0,0.5,0.1875,0,0,0,0,0,0,0.0625,0.0625,0,0.125,0,0,0,0,0,0.15625,0.3125,0.78125,0.0625,0.5625,0.625,0.96875,0.0625,0,1722.5,4241897.35716,4410489.78728,4291897.35716,4360489.78728,NA
177,0,0,0,0.416666666666667,0.075,0,0.108333333333333,0.025,0,0.025,1,0,0,0,0,0.05,0.283333333333333,0,0,0,0,0.808333333333333,0.975,0,0.366666666666667,0,0,0,0.275,0.266666666666667,0.108333333333333,0,0.758333333333333,0,0,0,0.641666666666667,0.25,0,0,0.691666666666667,1,0,0.891666666666667,1,0,0,0,0.233333333333333,0.0333333333333333,0,0,0,0.025,0,0.3,0,0.258333333333333,0,0,0,0,0.658333333333333,0,0,0,0,0,0.225,0,0.433333333333333,0,0.0333333333333333,0.05,0,0.166666666666667,0.166666666666667,0.875,0.975,0.291666666666667,0.025,0,0,0,0,0,0.975,0.0583333333333333,0.05,1,0,0.1,0.025,0,0.675,0.025,0.5,0.408333333333333,0,0,0,0,0.516666666666667,0.308333333333333,0.933333333333333,0.333333333333333,0.808333333333333,0,0.675,0,0.025,0.025,0.341666666666667,0.175,0.941666666666667,0.775,0.141666666666667,0.05,0.9,0,1711.5,4241897.35716,4010489.78728,4291897.35716,3960489.78728,NA
206,0,0,0,0.5,0.125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.875,1,0,0,0,0,0,0.25,0.625,0.875,0,1,0,0,0,0,0,0,0,0.125,1,0.125,1,1,1,0,0,0,0,0,0,0,1,0,0,0.125,0,0,0,0,0,0.125,0,0,0,0.125,0.125,0.25,0,0.5,0,0,0,0,0,0.25,0,0.875,0.25,0,0,0,0,0,0,1,0.25,0.25,1,0,0,0,0,1,0.25,0.125,0,0.25,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0.625,1,0.625,1,1,0.625,0,0,1717.5,4291897.35716,4410489.78728,4341897.35716,4360489.78728,NA
281,0,0,0,0,0.025,0,0.05,0,0,0.65,0.675,0,0,0.025,0,0,0.075,0,0,0,0,0.35,0.5,0,0.05,0,0,0,0.05,0.325,0.4,0,0.8,0.125,0,0,0,0.05,0,0,0.175,0.275,0,0.5,0.725,0.975,0,0.2,0,0.05,0.05,0,0,0.025,0,0.075,0.05,0,0,0.275,0,0,0.45,0,0,0,0.075,0,0,0.2,0.425,0,0.6,0.675,0,0,0,0.075,0.5,0.25,0,0,0,0.125,0,0,0.875,0,0.025,0.975,0.05,0,0.675,0,0.2,0.05,0.325,0.15,0,0,0,0,0,0,0,0.125,0.225,0,0.2,0.7,0.05,0.2,0.05,0.225,0.05,0.8,0.275,0.325,0.6,0,1759.5,4391897.35716,4360489.78728,4441897.35716,4310489.78728,NA
289,0.4,0,0.3,0.533333333333333,0,0.55,0.383333333333333,0.8,0.6,0.6,0.8,0.3,0.4,0.1,0,0.85,0.683333333333333,0.416666666666667,0.4,0,0.65,0.3,0.7,0,0.116666666666667,0.35,0.25,0,1,0.6,0.866666666666667,0.45,0.433333333333333,0.05,0.5,0.4,0.783333333333333,0.05,0.8,0,0.5,1,0.1,0.733333333333333,1,0,0,0.35,0.55,0.05,0.05,0.4,0.4,0.35,0.8,0.316666666666667,0,0.35,0.6,0.683333333333333,0.55,0.5,0.233333333333333,0.2,0.15,0.2,0,0.2,1,0.1,0.516666666666667,0.2,0,0.35,0.15,0.266666666666667,0.866666666666667,0.133333333333333,1,0.0666666666666667,0.45,0.4,0.5,0,0.55,0.05,0.65,0.75,0.366666666666667,0.8,0.7,0.45,0,0.1,0.933333333333333,0.1,0.6,0.4,0.05,0.65,0.2,0.8,0.8,0.566666666666667,0.55,0.483333333333333,0.2,0.133333333333333,0,0,0.483333333333333,0.55,0.95,0.15,1,1,0.45,0.15,0.483333333333333,0.15,1699.2,4391897.35716,3960489.78728,4441897.35716,3910489.78728,NA
291,0.5,0,1,0,0,1,0,1,1,1,1,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0.5,0.5,0,1,0,1,1,0,0,1,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0.5,0,0.5,0.5,1,1,1,1,0.5,0,0,0,0,0,0,1,0,1,1,0,0,0,1,651,4391897.35716,3860489.78728,4441897.35716,3810489.78728,NA
316,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.666666666666667,0,0,0,0,0,0.166666666666667,0.5,0.166666666666667,0,0.833333333333333,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0.5,0,0,0.5,0.5,0,0.5,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.333333333333333,0.166666666666667,0,0,0.5,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.5,0,0,0,0,0.5,0.333333333333333,0,0,0,0.333333333333333,0,0,0.666666666666667,0.5,0,1,0,0,0.666666666666667,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0,0,954,4441897.35716,4460489.78728,4491897.35716,4410489.78728,NA
318,0,0,0,0.5,0,0,0.25,0,0,0.25,1,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0.5,0.25,0,0.5,0.25,0,0,0.75,0,0,0,0.5,0.75,0,0.25,1,1,0,0.75,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0.5,0,0,1,0.25,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.25,0.5,0.75,1,0,0,0,0.5,0,0,1,0.25,0,0.75,0,0,0,0,0.5,0.25,1,0,0,0.25,0,0,0.25,0,0,0,0.5,0.5,0,0.75,0,0,0.25,0.75,0,1,0.25,0,0.75,0,895.5,4441897.35716,4360489.78728,4491897.35716,4310489.78728,NA
322,0,0,0,0,0.5,0,0,0,0,0.25,0.75,0.25,0,0,0.75,0.25,0,1,0,0,0.25,0.75,0.5,0,0.25,0,0,0.75,0.75,1,0.5,0,0.75,0,0,0.25,1,1,0.75,0,0,1,0.5,1,1,0,0,0.25,1,0,0,0.25,0,0,1,0,0,1,0,0.25,0,0,0.75,0,0.75,0,0,0,1,0.25,0.25,0,0,0.5,0,1,1,1,1,1,0,0,0,0,0,0,1,0.25,0.25,1,0,0.75,0,0,1,1,0,0.5,1,1,0,0,0.25,0.25,0,0,0.75,0.25,0,0,0.25,0,1,0.75,1,1,1,0,0.75,0,2189,4441897.35716,4160489.78728,4491897.35716,4110489.78728,NA
324,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.5,0,0,0.5,0,0.5,0,1,1,0,1,1,0,0,0,0.5,0,0,1,0,0.5,0.5,0,0,0.5,0,1,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0.5,0.5,0.5,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0.5,0,1,0.5,1,1,0.5,0,0.5,0,761,4441897.35716,4060489.78728,4491897.35716,4010489.78728,NA
325,0,0,0,0.0833333333333333,0.111111111111111,0.333333333333333,0,0.222222222222222,0,0.111111111111111,1,0.305555555555556,0,0,0.111111111111111,0.361111111111111,0.583333333333333,0.527777777777778,0,0,0.583333333333333,0,0.888888888888889,0.194444444444444,0.194444444444444,0,0,0,1,0.694444444444444,0.777777777777778,0.111111111111111,0.444444444444444,0.222222222222222,0,0.0833333333333333,0.472222222222222,0.194444444444444,0.888888888888889,0,0.333333333333333,1,0,1,1,0,0,0.333333333333333,0.111111111111111,0.25,0.194444444444444,0.888888888888889,0,0.222222222222222,0.527777777777778,0.0833333333333333,0,0.111111111111111,0.111111111111111,0.777777777777778,0,0,0.111111111111111,0,0,0,0,0,0.527777777777778,0,0.805555555555556,0,0,0,0,0.277777777777778,1,0.111111111111111,1,0.111111111111111,0.583333333333333,0,0.222222222222222,0,0,0,0.305555555555556,0.111111111111111,0.111111111111111,1,0.416666666666667,0.222222222222222,0,0,0.583333333333333,0.388888888888889,0.805555555555556,0.805555555555556,0.0833333333333333,0.222222222222222,0.111111111111111,0.583333333333333,1,1,0.722222222222222,0.416666666666667,0.222222222222222,0.222222222222222,0,0,0.333333333333333,0,1,1,1,1,0.388888888888889,0,0.277777777777778,0.111111111111111,1758.33333333333,4441897.35716,4010489.78728,4491897.35716,3960489.78728,NA
326,0.5,0,0,0,0.25,1,0,0.25,0.5,0.25,1,1,0,0,0,0.75,0.25,0.25,0,0,1,0,0.25,0.5,0.25,0,0,0,1,0.75,1,1,0.75,0,0,0,1,0,0.25,0,0,1,0.25,1,1,0,0,0,0.25,0,0,0.25,0,0.75,1,0,0,0,0.5,0.75,0,0.25,0.75,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0.25,1,0,1,0,0.25,0,0.5,0,0,0.25,0.25,0.25,1,1,0.75,0.75,0,0,0.25,0.25,0.25,0.25,0,1,0.25,1,1,1,1,0.25,0,0,0,0,0,0,1,0,1,1,0.75,0,0.25,1,2239,4441897.35716,3960489.78728,4491897.35716,3910489.78728,NA
327,0.214285714285714,0.0357142857142857,0.30952380952381,0.202380952380952,0,0.571428571428571,0.19047619047619,0.488095238095238,0.130952380952381,0.142857142857143,0.714285714285714,0.630952380952381,0.214285714285714,0.0476190476190476,0,0.761904761904762,0.488095238095238,0.607142857142857,0.0833333333333333,0,0.714285714285714,0,0.488095238095238,0,0.273809523809524,0.142857142857143,0.0476190476190476,0.0952380952380952,1,0.55952380952381,0.928571428571429,0.857142857142857,0.69047619047619,0,0.226190476190476,0.321428571428571,0.630952380952381,0.30952380952381,0.75,0,0.130952380952381,0.75,0.0952380952380952,0.75,1,0,0.0357142857142857,0.154761904761905,0.666666666666667,0.178571428571429,0,0.476190476190476,0.0357142857142857,0.178571428571429,0.785714285714286,0.119047619047619,0,0.285714285714286,0.333333333333333,0.833333333333333,0.142857142857143,0.238095238095238,0.130952380952381,0,0,0,0,0.0476190476190476,0.857142857142857,0.0357142857142857,0.464285714285714,0,0,0.0714285714285714,0.0952380952380952,0.428571428571429,0.857142857142857,0.166666666666667,0.964285714285714,0.0357142857142857,0.261904761904762,0.119047619047619,0.464285714285714,0,0.0714285714285714,0.226190476190476,0.226190476190476,0.392857142857143,0.404761904761905,0.892857142857143,0.80952380952381,0.452380952380952,0,0.25,0.333333333333333,0.166666666666667,0.55952380952381,0.488095238095238,0.0476190476190476,0.80952380952381,0.0714285714285714,0.785714285714286,0.964285714285714,0.75,0.55952380952381,0.357142857142857,0,0,0,0,0.130952380952381,0.0357142857142857,0.714285714285714,0.273809523809524,1,0.857142857142857,0.773809523809524,0,0.30952380952381,0.428571428571429,1781.71428571429,4441897.35716,3910489.78728,4491897.35716,3860489.78728,NA
328,0.3,0.1,0.4,0.316666666666667,0.15,0.45,0.2,0.766666666666667,0.2,0.516666666666667,0.7,0.366666666666667,0.0666666666666667,0,0,0.583333333333333,0.45,0.533333333333333,0.1,0.1,0.616666666666667,0.15,0.55,0,0.3,0.25,0.1,0.05,1,0.25,0.766666666666667,0.8,0.483333333333333,0.1,0,0.4,0.65,0.316666666666667,0.533333333333333,0,0.666666666666667,1,0,1,1,0,0.3,0.333333333333333,0.5,0.116666666666667,0.283333333333333,0.216666666666667,0.05,0.15,0.75,0.0666666666666667,0,0.1,0.533333333333333,0.75,0.2,0,0.266666666666667,0.283333333333333,0,0,0,0.25,0.933333333333333,0.1,0.4,0,0,0,0.15,0.533333333333333,1,0.266666666666667,1,0.05,0.2,0.1,0.5,0,0,0.05,0.616666666666667,0.9,0.583333333333333,1,0.95,0.466666666666667,0,0.45,0.55,0.5,0.75,0.6,0,0.833333333333333,0.05,0.716666666666667,1,0.833333333333333,0.766666666666667,0.5,0,0,0.05,0,0.283333333333333,0,1,0.1,1,1,0.483333333333333,0,0.1,0.1,2037.8,4441897.35716,3860489.78728,4491897.35716,3810489.78728,NA
329,0.5,0,0.5,0,0,0.5,0,0.833333333333333,0.375,0,0.625,0.375,0.25,0,0,0.541666666666667,0,0.166666666666667,0,0.25,0.666666666666667,0.5,0.458333333333333,0,0,0,0.125,0,1,0.333333333333333,1,0.5,0.666666666666667,0,0.416666666666667,0.5,0.666666666666667,0.166666666666667,1,0,0.375,0.75,0,0.875,1,0,0,0,0.5,0,0.166666666666667,0.875,0.5,0.5,1,0,0,0.166666666666667,0.375,0.375,0.25,0.5,0.166666666666667,0,0,0,0,0.25,0.833333333333333,0,0.333333333333333,0,0,0,0.25,0.5,1,0.333333333333333,1,0.166666666666667,0,0.125,0.5,0,0.375,0.375,0.5,0.833333333333333,0.166666666666667,1,0.666666666666667,0.166666666666667,0,0.125,0.416666666666667,0.333333333333333,0.5,0.291666666666667,0,0,0.375,0.833333333333333,1,0.666666666666667,0.5,0.875,0,0,0,0.125,0.166666666666667,0.5,1,0,1,0.75,0.5,0,0.5,0.25,1507,4441897.35716,3810489.78728,4491897.35716,3760489.78728,NA
330,0.583333333333333,0.25,0.25,0,0,0.666666666666667,0,0.583333333333333,0.25,0.75,1,0.75,0,0.166666666666667,0,0,0.833333333333333,0.666666666666667,0.75,0.25,0.75,0.583333333333333,0.25,0,0.666666666666667,0.5,0,0,1,0.666666666666667,1,1,0.75,0.25,0.166666666666667,0.833333333333333,0.666666666666667,0.5,1,0,0.25,1,0,0.666666666666667,1,0,0.25,0,0.5,0.166666666666667,0,0.25,0.5,0.75,1,0,0,0,0.75,1,0.5,0.5,0.166666666666667,0,0,0.333333333333333,0,0,1,0,0.25,0.583333333333333,0,0.166666666666667,0,0.5,1,0,1,0,0.5,1,0.75,0,0.166666666666667,1,1,1,0.5,1,1,0.666666666666667,0,0,0.25,0,0.5,0.5,0,0.833333333333333,0.333333333333333,1,1,1,1,0.666666666666667,0,0,0,0,0.333333333333333,0,1,0,1,0.833333333333333,1,0,0.25,0.25,596,4441897.35716,3760489.78728,4491897.35716,3710489.78728,NA
331,0.3125,0.125,0.125,0,0,0.5625,0,0.625,0.0625,0.3125,0.5625,0.5625,0.1875,0,0,0.125,0.1875,0.5625,1,0.5625,1,0.4375,0.0625,0.375,0.1875,0.3125,0.5,0.25,1,0.5625,1,0.75,0.5,0,0.5,0.6875,0.5625,0.125,1,0,0,0.75,0.25,0.625,1,0,0.1875,0,0.0625,0,0,0,0.375,0.9375,0.8125,0.0625,0,1,0.75,0.4375,0.625,0.375,0.0625,0,0,0.6875,0,0,1,0,0.375,0,0,0.5,0,0.0625,0.875,0,1,0,0.1875,0.5,0.6875,0,0.5,0.625,0.875,0.8125,0.375,1,0.75,0.25,0,0,0.375,0.0625,0,0.125,0,0.625,0.125,0.6875,1,1,1,0.875,0,0,0,0,0,0.25,0.9375,0,1,0.875,0.25,0,0,0.375,1840,4441897.35716,3710489.78728,4491897.35716,3660489.78728,NA
348,0,0,0,0.1,0,0,0.0833333333333333,0.05,0,0.8,0.075,0,0,0.025,0,0,0.05,0,0,0,0,0.816666666666667,0.15,0,0,0,0,0,0,0.125,0.508333333333333,0,0.725,0,0,0,0,0,0,0,0.616666666666667,0,0,0,0,0.966666666666667,0,0.375,0,0,0.1,0,0,0,0,0,0.433333333333333,0,0,0.508333333333333,0,0,0.05,0,0,0,0.733333333333333,0.025,0,0.225,0.05,0,0.716666666666667,0.35,0,0,0,0,0.025,0.05,0,0,0,0,0,0,0.633333333333333,0.025,0,1,0,0,0.575,0,0.641666666666667,0.025,0.025,0,0.025,0,0,0,0.05,0,0,0,0,0,0,0.725,0,0.808333333333333,0,0.941666666666667,0,0.591666666666667,0.591666666666667,0.4,0,0.025,1701.5,4491897.35716,4710489.78728,4541897.35716,4660489.78728,NA
352,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.25,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0.75,0.75,1,0,0,0.25,0,0,0.25,0.75,0,0,0,1,0.5,0.75,1,0,0,0,0.25,0,0.5,0.25,0,0.25,0,0.25,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0.75,0.75,0,1,0.5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.75,1,0.5,0,0,0.25,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,1,0.75,0.75,1,0,0,0,2393,4491897.35716,4510489.78728,4541897.35716,4460489.78728,NA
353,0,0,0,0.222222222222222,0,0,0.444444444444444,0.444444444444444,0,0.444444444444444,0.888888888888889,0,0,0,0.222222222222222,0.111111111111111,0.444444444444444,0,0,0,0,0.555555555555556,0.555555555555556,0,0,0,0,0,0.444444444444444,0.333333333333333,0.444444444444444,0,0.888888888888889,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0,0,0.444444444444444,0.555555555555556,0,0.222222222222222,0.888888888888889,0.888888888888889,0,0.777777777777778,0,0.111111111111111,0.222222222222222,0.555555555555556,0,0,0.111111111111111,0.111111111111111,0.333333333333333,0,0,0.888888888888889,0,0.111111111111111,0.666666666666667,0.222222222222222,0,0,0.111111111111111,0,0.444444444444444,0.666666666666667,0.222222222222222,0,0.777777777777778,0.111111111111111,0,0.111111111111111,0,0.222222222222222,0.444444444444444,0.666666666666667,0,0,0,0.333333333333333,0,0,1,0.444444444444444,0.333333333333333,1,0,0,0.666666666666667,0,0.666666666666667,0.111111111111111,0.444444444444444,0,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0.444444444444444,0.333333333333333,0.777777777777778,0.777777777777778,0.444444444444444,0,0,0.888888888888889,0.222222222222222,1,0.777777777777778,0.111111111111111,0.222222222222222,0.222222222222222,941,4491897.35716,4460489.78728,4541897.35716,4410489.78728,NA
354,0,0,0,0,0,0.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0.5,0.5,0,0,0,1,0,1,1,1,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0.5,1,0.5,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.5,0.5,0,0,0,0,0,0.5,0,0,0.5,0,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0,1,0.5,933,4491897.35716,4410489.78728,4541897.35716,4360489.78728,NA
355,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,1,0.5,0,0,1,0,0,0,0,0.5,0,0,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,1,0.5,0,0.5,0,0.5,0.5,891,4491897.35716,4360489.78728,4541897.35716,4310489.78728,NA
358,0,0,0,0.5,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0,1,0,1,0,0,0,1,0.5,0,0,0,0.5,1,1,1,1,0,0.5,0,0,0,1,0,0.5,0.5,0,0,0,0,1,0,0,1,0.5,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0.5,1,0,0.5,1,0,1,1,0.5,0,0.5,1,0,1,0.5,0,1,0,844,4491897.35716,4210489.78728,4541897.35716,4160489.78728,NA
360,0,0,0,0.333333333333333,0,0,0.25,0,0,0,0.833333333333333,0.5,0.333333333333333,0,0,0.25,0.25,0.5,0,0,0.5,0,1,0.166666666666667,0.333333333333333,0,0,0,1,0.416666666666667,0.5,0.5,1,0,0,0.5,0,0.416666666666667,0.5,0,0,1,0,0.5,1,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0.333333333333333,0.5,0,0,0,0,0.166666666666667,0,0.333333333333333,0.583333333333333,0.25,0,0,0,0,0.5,0,0.666666666666667,0,0,0,0,0.333333333333333,0.5,0.75,1,0.25,0.166666666666667,0,0.166666666666667,0,0,0,0.416666666666667,0,0.166666666666667,1,0.5,0.166666666666667,0,0,0.416666666666667,0.416666666666667,1,0.75,0,0.166666666666667,0,0.5,0.75,0.5,0.5,0.583333333333333,0.5,0.5,0,0,0.25,0,1,0.166666666666667,1,1,0.333333333333333,0,0.75,0,766,4491897.35716,4110489.78728,4541897.35716,4060489.78728,NA
361,0,0,0.333333333333333,0,0,0,0,0.166666666666667,0.333333333333333,0,1,0.5,0.166666666666667,0,0.166666666666667,0.5,0,0.333333333333333,0,0.166666666666667,0.5,0,1,0,0.666666666666667,0,0,0,1,0.5,0.666666666666667,0.666666666666667,1,0,0,0.166666666666667,1,1,1,0,0,1,0,0.833333333333333,1,0,0.166666666666667,0,0.5,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0.166666666666667,0.166666666666667,0.5,0.166666666666667,0.333333333333333,0.5,0.333333333333333,0.5,0,0,0.333333333333333,0.833333333333333,0,0.666666666666667,0,0,0,0.166666666666667,0.5,0.666666666666667,0.666666666666667,1,0.333333333333333,0,0,0.333333333333333,0,0.166666666666667,0,0.5,0.166666666666667,0.666666666666667,1,0.833333333333333,0.333333333333333,0,0.166666666666667,1,0.166666666666667,1,0,0,0.666666666666667,0.333333333333333,0.666666666666667,1,1,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0,0,0.666666666666667,0,1,0.166666666666667,1,1,0.666666666666667,0,1,0.333333333333333,749,4491897.35716,4060489.78728,4541897.35716,4010489.78728,NA
363,0.125,0,0,0,0,0.5,0,0.625,0,0,1,0.625,0,0,0,0.25,0,0.625,0.25,0.5,0.75,0,0.625,0,0,0.5,0,0.5,1,0.75,1,0.375,0.25,0,0,0,1,0.25,1,0,0,1,0.25,1,1,0,0,0.125,0.625,0,0,0.5,0,0,1,0.125,0,0.125,0.5,0.25,0,0.25,0,0,0,0,0,0,0.875,0,0.25,0,0,0,0,0.25,1,0,1,0,0.375,0,0.625,0,0,0,0.25,0.25,0.25,1,0.875,0.25,0,0,0.25,0.125,0.625,0.75,0,0.875,0,1,1,1,0.75,0.5,0,0,0,0,0.125,0,1,0.5,1,1,0.75,0,0.375,0.625,1498,4491897.35716,3960489.78728,4541897.35716,3910489.78728,NA
